DlangUI log file
2017-06-29 01:05:29.727 D  registerFont(SansSerif,SketchFlow Print)
2017-06-29 01:05:29.727 D  registerFont(MonoSpace,MyricaM M)
2017-06-29 01:05:29.727 D  registerFont(Serif,MyricaM P)
2017-06-29 01:05:29.727 D  registerFont(Serif,MyricaM N)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,Infty Font 5)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,Infty Font 6)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,Infty Font 7)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,Infty Font 8)
2017-06-29 01:05:29.727 D  registerFont(MonoSpace,DengXian)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,Microsoft MHei)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,Microsoft NeoGothic)
2017-06-29 01:05:29.727 D  registerFont(Serif,Yu Gothic)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,Segoe WP Black)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,Segoe WP)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,Segoe WP Semibold)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,Segoe WP Light)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,Segoe WP SemiLight)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,DejaVu Sans Condensed)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,OpenSymbol)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,Arimo)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,Gentium Basic)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,Gentium Book Basic)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,DejaVu Sans)
2017-06-29 01:05:29.727 D  registerFont(MonoSpace,DejaVu Sans Mono)
2017-06-29 01:05:29.727 D  registerFont(Serif,DejaVu Serif Condensed)
2017-06-29 01:05:29.727 D  registerFont(Serif,DejaVu Serif)
2017-06-29 01:05:29.727 D  registerFont(SansSerif,DejaVu Sans Light)
2017-06-29 01:05:29.727 I  Found 249 font faces
2017-06-29 01:05:29.727 D  initResourceManagers()
2017-06-29 01:05:29.728 I  Creating ImageCache
2017-06-29 01:05:29.728 I  Creating DrawableCache
2017-06-29 01:05:29.728 D  Calling initSharedResourceManagers()
2017-06-29 01:05:29.728 D  Calling initStandardEditorActions()
2017-06-29 01:05:29.728 D  Calling registerStandardWidgets()
2017-06-29 01:05:29.728 D  Registering standard widgets for DML
2017-06-29 01:05:29.728 D  initResourceManagers() -- finished
2017-06-29 01:05:29.728 D  Creating default theme
2017-06-29 01:05:29.728 D  Loading Derelict GL
2017-06-29 01:05:29.732 D  Derelict GL - loaded
2017-06-29 01:05:29.732 I  Entering UIAppMain: []
2017-06-29 01:05:29.732 V  Loading language file
2017-06-29 01:05:29.732 D  Loading string resources from file @embedded@/std_en.ini
2017-06-29 01:05:29.732 V  Calling onThemeChanged
2017-06-29 01:05:29.732 V  uiTheme setting new theme theme_default
2017-06-29 01:05:29.735 I  Applying loaded theme theme_default
2017-06-29 01:05:29.735 D  Platform.createWindow is called
2017-06-29 01:05:29.735 V  Platform.createWindow : setDefaultLanguageAndThemeIfNecessary
2017-06-29 01:05:29.735 V  Platform.createWindow : new Win32Window
2017-06-29 01:05:29.741 D  Window onCreate
2017-06-29 01:05:29.741 V  created window, adding to map
2017-06-29 01:05:29.755 V  Reloading DerelictGL3
2017-06-29 01:05:29.756 V  Reloading DerelictGL
2017-06-29 01:05:29.756 D  glSupport not initialized: trying to create
2017-06-29 01:05:29.756 V  Compiling solid fill program
2017-06-29 01:05:29.756 D  compileShader: glslVersion = 4.40 - Build 20.19.15.4549, type: GL_VERTEX_SHADER
2017-06-29 01:05:29.757 D  compileShader: glslVersion = 4.40 - Build 20.19.15.4549, type: GL_FRAGMENT_SHADER
2017-06-29 01:05:29.759 D  Program linked successfully
2017-06-29 01:05:29.759 V  Program is initialized successfully
2017-06-29 01:05:29.759 V  Compiling texture program
2017-06-29 01:05:29.759 D  compileShader: glslVersion = 4.40 - Build 20.19.15.4549, type: GL_VERTEX_SHADER
2017-06-29 01:05:29.759 D  compileShader: glslVersion = 4.40 - Build 20.19.15.4549, type: GL_FRAGMENT_SHADER
2017-06-29 01:05:29.761 D  Program linked successfully
2017-06-29 01:05:29.761 V  Program is initialized successfully
2017-06-29 01:05:29.762 D  Shaders compiled successfully
2017-06-29 01:05:29.762 V  OpenGL is initialized ok
2017-06-29 01:05:29.767 D  Loading image from file @embedded@/btn_pressed.9.png
2017-06-29 01:05:29.768 D  Loading image from file @embedded@/btn_default.9.png
2017-06-29 01:05:29.768 D  Loading image from file @embedded@/btn_normal.9.png
2017-06-29 01:05:29.768 D  Loading image from file @embedded@/btn_hover.9.png
2017-06-29 01:05:29.768 D  Loading image from file @embedded@/btn_disabled.9.png
2017-06-29 01:05:29.769 D  Loading image from file @embedded@/scrollbar_btn_left.png
2017-06-29 01:05:29.769 D  Loading image from file @embedded@/scrollbar_btn_background_pressed.9.png
2017-06-29 01:05:29.769 D  Loading image from file @embedded@/scrollbar_btn_background_normal.9.png
2017-06-29 01:05:29.770 D  Loading image from file @embedded@/scrollbar_btn_background_hover.9.png
2017-06-29 01:05:29.770 D  Loading image from file @embedded@/scrollbar_btn_right.png
2017-06-29 01:05:29.770 D  Loading image from file @embedded@/scrollbar_indicator_horizontal.png
2017-06-29 01:05:29.770 D  Loading image from file @embedded@/scrollbar_btn_background_disabled.9.png
2017-06-29 01:05:29.799 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, 5C04C2, 182, 182, 600, 400, 268441667)
2017-06-29 01:05:29.800 D  onResize 584x361
2017-06-29 01:05:29.800 D  resize: measure took 0 ms
2017-06-29 01:05:29.800 D  resize: layout took 0 ms
2017-06-29 01:05:29.800 D  Platform.createWindow is called
2017-06-29 01:05:29.800 V  Platform.createWindow : setDefaultLanguageAndThemeIfNecessary
2017-06-29 01:05:29.800 V  Platform.createWindow : new Win32Window
2017-06-29 01:05:29.801 D  Window onCreate
2017-06-29 01:05:29.802 V  created window, adding to map
2017-06-29 01:05:29.804 I  OpenGL context already exists. Setting pixel format.
2017-06-29 01:05:29.861 V  created image cache page 1024x1024
2017-06-29 01:05:29.870 D  updateTexture - new texture id=1
2017-06-29 01:05:29.870 D  updateTexture for cache page - setting image 1024x1024 tx=1
2017-06-29 01:05:29.924 D  WM_WINDOWPOSCHANGED: WINDOWPOS(540708, E05A0, 208, 208, 600, 400, 268441671)
2017-06-29 01:05:29.924 D  onResize 584x361
2017-06-29 01:05:29.925 D  resize: measure took 1 ms
2017-06-29 01:05:29.925 D  resize: layout took 0 ms
2017-06-29 01:05:29.938 V  created glyph cache page 1024x1024
2017-06-29 01:05:29.945 D  updateTexture - new texture id=2
2017-06-29 01:05:29.945 D  updateTexture for cache page - setting image 1024x1024 tx=2
2017-06-29 01:05:29.946 D  updateTexture for cache page - setting image 1024x1024 tx=1
2017-06-29 01:05:29.976 D  updateTexture for cache page - setting image 1024x1024 tx=2
2017-06-29 01:05:29.977 D  updateTexture for cache page - setting image 1024x1024 tx=1
2017-06-29 01:05:30.443 D  updateTexture for cache page - setting image 1024x1024 tx=1
2017-06-29 01:05:31.203 D  updateTexture for cache page - setting image 1024x1024 tx=1
2017-06-29 01:05:31.290 D  Window.close()
2017-06-29 01:05:31.290 D  WM_CLOSE: closing window 
2017-06-29 01:05:31.290 D  WM_WINDOWPOSCHANGED: WINDOWPOS(540708, null, 208, 208, 600, 400, 6295)
2017-06-29 01:05:31.293 D  WM_WINDOWPOSCHANGED: WINDOWPOS(540708, E05A0, 208, 208, 600, 400, 6171)
2017-06-29 01:05:31.293 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, 540708, 182, 182, 600, 400, 6147)
2017-06-29 01:05:31.297 D  Window onDestroy
2017-06-29 01:05:31.297 V  destroyed window, removing from map
2017-06-29 01:05:31.297 E  Cannot find window in map by HWND
2017-06-29 01:05:31.297 D  Window destructor
2017-06-29 01:05:31.297 D  Destroying window
2017-06-29 01:05:32.020 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, null, 188, 181, 600, 400, 2581)
2017-06-29 01:05:32.026 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, null, 200, 183, 600, 400, 2581)
2017-06-29 01:05:32.029 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, null, 214, 187, 600, 400, 2581)
2017-06-29 01:05:32.034 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, null, 233, 191, 600, 400, 2581)
2017-06-29 01:05:32.042 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, null, 257, 196, 600, 400, 2581)
2017-06-29 01:05:32.050 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, null, 281, 200, 600, 400, 2581)
2017-06-29 01:05:32.058 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, null, 308, 205, 600, 400, 2581)
2017-06-29 01:05:32.068 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, null, 347, 212, 600, 400, 2581)
2017-06-29 01:05:32.074 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, null, 384, 220, 600, 400, 2581)
2017-06-29 01:05:32.083 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, null, 414, 225, 600, 400, 2581)
2017-06-29 01:05:32.091 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, null, 446, 232, 600, 400, 2581)
2017-06-29 01:05:32.098 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, null, 468, 237, 600, 400, 2581)
2017-06-29 01:05:32.107 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, null, 492, 241, 600, 400, 2581)
2017-06-29 01:05:32.115 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, null, 514, 248, 600, 400, 2581)
2017-06-29 01:05:32.123 D  WM_WINDOWPOSCHANGED: WINDOWPOS(F088C, null, 533, 254, 600, 400, 2581)
